Last_Name,Name,School,Researcher,Home_Dept,Areas_Expertise,Sub_Headings,Start_Year,Depart_Year
Lampoudi,Sotiria Lampoudi,UCSB,Sotiria Lampoudi UCSB,ERI,,,2011,2012
Langer,Jim Langer,UCSB,Jim Langer UCSB,Physics,,,2010,2012
Lavallee,Daniel Lavallee,UCSB,Daniel Lavallee UCSB,ERI,,,2009,2014
Leifer,Ira Leifer,UCSB,Ira Leifer UCSB,Marine Science Institute,,,2010,2014
Lenihan,Hunter Lenihan,UCSB,Hunter Lenihan UCSB,Bren,,,2009,
Levy,Marina Levy,LOCEAN IPSL UPMC CNRS,Marina Levy LOCEAN IPSL UPMC CNRS,ERI,,,2012,2013
Lopez-Carr,David Lopez-Carr,UCSB,David Lopez-Carr UCSB,Geography,,,2009,2010
Luyendyk,Bruce Luyendyk,UCSB,Bruce Luyendyk UCSB,Earth Science,,,2009,
MacIntyre,Sally MacIntyre,UCSB,Sally MacIntyre UCSB,EEMB,,,2009,
Maritorena,Stephane Maritorena,UCSB,Stephane Maritorena UCSB,ERI,,,2009,
Mattinson,James Mattinson,UCSB,James Mattinson UCSB,Earth Science,,,2009,2013
McCauley,Ed McCauley,UCSB,Ed McCauley UCSB,NCEAS,,,2010,2012
McFadden,Joseph McFadden,UCSB,Joseph McFadden UCSB,Geography,,,2009,
Means,Jay Means,UCSB,Jay Means UCSB,Bren,,,2013,
Melack,John Melack,UCSB,John Melack UCSB,Bren and EEMB,,,2009,
Michalides,Katerina Michalides,University of Bristol,Katerina Michalides University of Bristol,ERI,,,2014,
Michaelsen,Joel Michaelsen,UCSB,Joel Michaelsen UCSB,Geography,,,2009,2013
Miller,Robert Miller,UCSB,Robert Miller UCSB,Marine Science Institute and ERI,,,2009,
Molinari,Nicole Molinari,US Forest Service,Nicole Molinari US Forest Service,EEMB,,,2011,
Nelson,Craig Nelson,University of Hawaiʻi at Mānoa,Craig Nelson University of Hawaiʻi at Mānoa,EEMB,,,,2009
Nelson,Norm Nelson,UCSB,Norm Nelson UCSB,ERI,,,2009,
Nisbet,Roger Nisbet,UCSB,Roger Nisbet UCSB,EEMB,,,2009,
