Last_Name,Name,School,Researcher,Home_Dept,Areas_Expertise,Sub_Headings,Start_Year,Depart_Year
Rioux,Matthew Rioux, UCSB,Matthew Rioux UCSB,"ERI, LSOE Earth Science",Radiogenic Isotope Geochemistry,,,
Rittger,Karl Rittger, UCSB,Karl Rittger CU Boulder,,Terrestrial Hydrosphere focused on the processes controlling hydrologic fluxes in cold regions and within the greater Earth system,,,
Romero,Leonel Romero, UCSB,Leonel Romero UCSB,ERI,"Upper ocean dynamics, coastal processes, surface wave dynamics, air-sea interaction, wave-current interaction, ocean mixing",,,
Rood,Dylan Rood, UCSB,Dylan Rood Imperial College London,ERI,"Terrestrial climate records, earthquake fault slip rates, erosion rates and landscape evolution, and seismic hazards ",,,
Seale,Sandra Seale, UCSB,Sandra Seale UCSB,ERI,"Strong-motion seismology, earthquake site effects",,,
Seltmann,Katja Seltmann, UCSB,Katja Seltmann UCSB,CCBER and ERI,"Biodiversity informatics, entomology, natural history collections",,,
Shi,Jiancheng Shi, UCSB,"Jiancheng Shi Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences",ERI,"Modeling of the microwave signature of snow and soil, image processing and analysis, and inversion model developments for retrieving physical parameters from remote sensing data",,,
Silva,Thiago Silva, UCSB,Thiago Sanna Freire Silva University of Stirling,ERI and Brazilian National Institute for Space Research (INPE),"Biology, Ecology, Limnology- ecosystem processes on floodplains of the Amazon basin",,,
Simons,Rachel Simons, UCSB,Rachel Simons UCSB,ERI,Hydrodynamic and transport modeling,,,
Singer,Michael Singer, UCSB,Michael Singer UCSB,ERI,"Flood-based erosion and sedimentation, stochastic processes, downstream fining, geochemical tracers, channel and floodplain morphology in large rivers",,,
Smith,Tom Smith, UCSB,Tom Smith UCSB,ERI,Community ecology studying high elevation lake communities in California's Sierra Nevada,,,
Srlien,Christopher Sorlien, UCSB,Christopher Sorlien UCSB,ERI,Faulting and folding; seismic reflection data; paleoclimate,,,
Steidl,Jamison Steidl, UCSB,Jamison Steidl UCSB,ERI,"Site Response, Strong Ground Motion, Engineering Seismology, Borehole Seismology, Earthquake Source Mechanics and Dynamics",,,
Stith,Andrea Stith, UCSB,Andrea Stith UCSB,Office of Research,Research Development,,,
Stratton,Lisa Stratton, UCSB,Lisa Stratton UCSB,CCBER,Ecosystem Management,,,
Thorsch,Jennifer Thorsch, UCSB,Jennifer Thorsch UCSB,CCBER,"Plant science, collection management, K-12 education",,,
Tyler,Claudia Tyler, UCSB,Claudia Tyler UCSB,GGSE,Community dynamics in oak woodlands,,,
Wahlert,Greg Wahlert, UCSB,Greg Wahlert UCSB,CCBER,"Plant systematics, collections management.",,,
Witmann,Marion Wittmann, UCSB,Marion Wittmann UCSB,NRS,"Wildlife Conservation, Ecosystem Ecology, Conservation Biology, Invasive Species, Climate Change, Biodiversity, Water Quality, Natural Resource Management",,,
