,new_column,Last Name,Name,School,Researcher,Home Dept,Areas of expertise from webpage,Sub-Headings,Start Year,Depart Year,Profile,Keywords
34,m7tnZn8AAAAJ,Gans,Phil Gans, UCSB,Phil Gans UCSB,Earth Science,"Structural geology, tectonics",Tectonics,,,,
35,KSvF4pEAAAAJ,Hacker,Bradley Hacker, UCSB,Bradley Hacker UCSB,Earth Science,"Metamorphic Petrology, Tectonics, Geochronology and Petrophysics",Tectonics; Petrology,,2020.0,,
36,dDNiAwEAAAAJ,Jackson,Matt Jackson, UCSB,Matt Jackson UCSB,Earth Science,Geochemistry and Igneous Petrology,Volcanology; Petrology; Marine Geology,2013.0,,,
37,M0ZSdNUAAAAJ,Ji,Chen Ji UCSB, UCSB,Chen Ji UCSB UCSB,Earth Science,Seismology,Geophysics,,,,
38,MlDIrsgAAAAJ,Keller,Edward Keller, UCSB,Edward Keller UCSB,Earth Science,"Earth Surface Processes, Environmental Geology",Geomorphology; Hydrology,,2020.0,,
39,lto7l1kAAAAJ,Lea,David Lea, UCSB,David Lea UCSB,Earth Science,"Paleoclimatology, Paleoceanography, Marine Geochemistry, Global Climate Change",Paleoclimate;  Chemical oceanography,,,,
40,McNJSi4AAAAJ,Lisiecki,Lorraine Lisiecki, UCSB,Lorraine Lisiecki UCSB,Earth Science,Paleoclimate and Paleoceanography,Paleoclimate,,,,
41,fLRRRrcAAAAJ,Macdonald,Francis A. Macdonald, UCSB,Francis A. Macdonald UCSB,Earth Science,Geology,"Tectonics, Paleobiology",2018.0,,,
42,HNKEI3MAAAAJ,Matoza,Robin Matoza, UCSB,Robin Matoza UCSB,Earth Science,"Geophysics, seismology, and acoustics",Geophysics,2015.0,,,
43,d5_TSk8AAAAJ,Morell,Kristin Morell UCSB, UCSB,Kristin Morell UCSB UCSB,Earth Science,Tectonic geomorphology and active tectonics.,"Tectonics, Geophysics",2017.0,,,
44,O_Fcmwy21PIC,Porter,Susannah Porter, UCSB,Susannah Porter UCSB,Earth Science,"Precambrian and Cambrian Paleobiology, Early Eukaryote and Animal Evolution",Paleobiology; Evolutionary Ecology,,,,
45,KtVrxIcAAAAJ,Raven,Morgan Raven, UCSB,Morgan Raven UCSB,Earth Science,"Organic Geochemistry, Geobiology",Biogeochemistry,2018.0,,,
46,ocbjavsAAAAJ,Rudnick,Roberta Rudnick, UCSB,Roberta Rudnick UCSB,Earth Science,Geochemistry and Petrology,Petrology,2015.0,,,
47,1pt8QIsAAAAJ,Simms,Alexander R. Simms, UCSB,Alexander R. Simms UCSB,Earth Science,"Sedimentology - depositional systems response to sea-level, climate, and tectonic changes","Sedimentology, Paleoclimate",,,,
48,E3cCohYAAAAJ,Spera,Frank Spera, UCSB,Frank Spera UCSB,Earth Science,"Magma Dynamics, Properties of Magmas, Volcanology and Geomaterials",Volcanology; Petrology,,2018.0,,
49,tHnXe84AAAAJ,Tanimoto,Toshiro Tanimoto, UCSB,Toshiro Tanimoto UCSB,Earth Science,"Seismology, Earth structure",Geophysics,,,,
50,none,Tiffney,Bruce Tiffney, UCSB,Bruce Tiffney UCSB,Earth Science,"Angiosperm paleo- & neocarpology, land plant evolution, plant-animal interactions in the fossil record",Paleobiology; Evolutionary Ecology,,2020.0,,
51,UvoDtbcAAAAJ,Valentine,David Valentine, UCSB,David Valentine UCSB,Earth Science,"Geochemistry, Microbiology, Marine Science",Chemical Oceanography; Environmental Microbiology,,,,
52,uLjMZtQAAAAJ,Weldeab,Syee Weldeab, UCSB,Syee Weldeab UCSB,Earth Science,"Paleoclimatology, Paleoceanography",Paleoclimate,,,,
53,none,Wyss,Andy Wyss UCSB, UCSB,Andy Wyss UCSB UCSB,Earth Science,"Vertebrate Paleontology, Mammalian Systematics ",Paleobiology,,,,
54,q0xdxtsAAAAJ,Briggs,Cherie Briggs, UCSB,Cherie Briggs UCSB,EEMB,Dynamics of animal populations,Population Ecology,,,,
55,NgJPuK8AAAAJ,Brzezinski,Mark Brzezinski, UCSB,Mark Brzezinski UCSB,EEMB,Marine phytoplankton -  diatoms,Biological Oceanography,,,,
56,lOhiBXAAAAAJ,Burkepile,Deron Burkepile, UCSB,Deron Burkepile UCSB,EEMB,Coral Reef Ecology and Community Ecology,Marine Ecology and Community Ecology,2016.0,,,
57,4Td-fJUAAAAJ,Carlson,Craig Carlson, UCSB,Craig Carlson UCSB,EEMB,"Biological oceanography – Marine microbial ecology, bacterioplankton, biogeochemical cycling",Biological Oceanography; EnvMicrobiology,,,,
58,none,Collins,Peter Collins UCSB, UCSB,Peter Collins UCSB UCSB,EEMB,Mechanisms regulating reproduction and development in vertebrate animal models,Physiology/Development,,2017.0,,
59,wPlGMRoAAAAJ,Eliason,Erika Eliason, UCSB,Erika Eliason UCSB,EEMB,Fish Physiology,"Marine Ecology, Ecophysiology",2016.0,,,
60,1Fr1vakAAAAJ,Hodges,Scott Hodges, UCSB,Scott Hodges UCSB,EEMB,Genetic basis of adaptation and speciation,Evolution; Genetics,,,,
61,-PWYRzIAAAAJ,Hofmann,Gretchen Hofmann, UCSB,Gretchen Hofmann UCSB,EEMB,"Ecological physiology of marine organisms, in particular kelp, invertebrates and perciform fishes",Ecophysiology; Marine Ecology,,,,
62,LtUBsnwAAAAJ,Holbrook,Sally J. Holbrook, UCSB,Sally J. Holbrook UCSB,EEMB,"Population dynamics and species interactions of marine species, mainly reef fishes",Community & Population Ecology; Marine Ecology,,2025.0,,
63,none,Iglesias-Rodriguez,Debora Iglesias-Rodriguez, UCSB,Debora Iglesias-Rodriguez UCSB,EEMB,Biological Oceanography; Diversity and function in marine phytoplankton ,Biological Oceanography; Ecophysiology,2013.0,,,
64,qbamjFYAAAAJ,J. Mazer,Susan Mazer, UCSB,Susan Mazer UCSB,EEMB,Evolutionary biology,Evolution; Genetics,,,,
65,Fx4qe20AAAAJ,Kuris,Armand Kuris, UCSB,Armand Kuris UCSB,EEMB,Infectious processes in ecosystems,Community Ecology; Marine Ecology,,2025.0,,
66,none,Levine,Jonathan Levine, UCSB,Jonathan Levine UCSB,EEMB,Niche and neutral controls over plant species coexistence,Community Ecology,,2013.0,,
67,GPlRHI8AAAAJ,MacIntyre,Sally MacIntyre, UCSB,Sally MacIntyre UCSB,EEMB,"Physical-biological coupling; physical limnology and oceanography; tropical, temperate and arctic lakes",Limnology/Aquatic Ecosystems; Biological & Physical Oceanography,,2025.0,,
68,6OtfsT0AAAAJ,Mahall,Bruce Mahall, UCSB,Bruce Mahall UCSB,EEMB,Physiological plant ecology; controls of community structures and plant distribution,Ecophysiology; Biogeography/Landscape Ecology,,2013.0,,
69,HYXM3_sAAAAJ,McCauley,Douglas McCauley, UCSB,Douglas McCauley UCSB,EEMB,Ecology of communities and ecosystems in a rapidly changing world,Community Ecology; Conservation; Marine Ecology,2014.0,,,
70,hcuuM8gAAAAJ,Moeller,Holly Moeller, UCSB,Holly Moeller UCSB,EEMB,,,2016.0,,,
71,l_9TshUAAAAJ,Nisbet,Roger Nisbet, UCSB,Roger Nisbet UCSB,EEMB,Theoretical ecology; population dynamics; dynamic energy budget theory,Population Ecology,,2017.0,,
72,kztqPjYAAAAJ,Oakley,Todd Oakley, UCSB,Todd Oakley UCSB,EEMB,Evolutionary biology: Origins of vision and light interaction genes,Evolution; Genetics,,,,
73,GaabAg8AAAAJ,Oono,Ryoko Oono, UCSB,Ryoko Oono UCSB,EEMB,Evolutionary ecology focusing on plant-microbe interactions,Evolutionary Ecology; Env Microbiology,2014.0,,,
74,5y_dK0oAAAAJ,Proulx,Stephen Proulx, UCSB,Stephen Proulx UCSB,EEMB,Evolution; Genetics; Biometry,Evolution; Genetics,,,,
75,OtbhlmIAAAAJ,Rice,William Rice, UCSB,William Rice UCSB,EEMB,Evolutionary biology,Evolution; Genetics,,2019.0,,
76,TsZjKA4AAAAJ,Santoro,Alyson Santoro, UCSB,Alyson Santoro UCSB,EEMB,Microbial Oceanography,Biological & Chemical Oceanography,2016.0,,,
77,sFIZSUYAAAAJ,Schmitt,Russell Schmitt, UCSB,Russell Schmitt UCSB,EEMB,Abundance and dynamics of populations; species composition and diversity of communities,"Community, Population & Marine Ecology",,2025.0,,
78,bxbOvMgAAAAJ,Stier,Adrian Stier, UCSB,Adrian Stier UCSB,EEMB,Marine Coastal Ecologist,Marine Ecology,2016.0,,,
79,none,Suarez,Raul Suarez, UCSB,Raul Suarez UCSB,EEMB,Metabolic biochemistry,Physiology/Development,,2018.0,,
80,t07iyOAAAAAJ,Sweet,Samuel Sweet, UCSB,Samuel Sweet UCSB,EEMB,Vertebrate systematics and evolutionary morphology; herpetology,Evolutionary Ecology; Paleobiology,,2025.0,,
81,-JrND60AAAAJ,Turner,Thomas Turner, UCSB,Thomas Turner UCSB,EEMB,Evolutionary Genetics,Evolution; Genetics,2010.0,,,
82,9Jcd7mcAAAAJ,Wilbanks,Lizzie Wilbanks, UCSB,Lizzie Wilbanks UCSB,EEMB,Bioinformatics,,2016.0,,,
83,X-2BjW4AAAAJ,Young,Hillary Young, UCSB,Hillary Young UCSB,EEMB,Community ecology and human disturbance,Community Ecology; Conservation,2014.0,,,
84,qYym6p0AAAAJ,D’Antonio,Carla D’Antonio, UCSB,Carla D’Antonio UCSB,EEMB / Env Studies,"Plant and ecosystem ecology, invasive species, species affects on ecosystem processes, restoration ecology.",Community Ecology; Ecosystem Ecology; Conservation,,2025.0,,
85,072ktIQAAAAJ,Froelich,Halley Froelich, UCSB,Halley Froelich UCSB,EEMB / Env Studies,Aquatic farming and Climate Change,"Food Systems, Marine Ecology, Conservation",2018.0,,,
86,uzDaznAAAAAJ,Schimel,Josh Schimel, UCSB,Josh Schimel UCSB,EEMB / Env Studies,Ecosystem ecology – Soil ecology; microbial controls of ecosystem processes; terrestrial biogeochemistry,Soils; Ecosystem Ecology; Env Microbiology,,,,
87,none,Alagona,Peter Alagona, UCSB,Peter Alagona UCSB,Environmental Studies,"Environmental history, history of science, wildlife and endangered species, California",Environmental History,,,,
88,Q8pkoBAAAAAJ,Cleveland,David Cleveland, UCSB,David Cleveland UCSB,Environmental Studies,"Sustainable, small-scale agrifood systems: plant breeding, climate change, nutrition, food sovereignty.",LULCC; Conservation,,2016.0,,
89,none,Gray,Summer Gray, UCSB,Summer Gray UCSB,Environmental Studies,"Environment and Society, Infrastructure and Adaptation, Climate Justice Studies","Environmental Justice, Environmental Politics",2017.0,,,
90,4n0166UAAAAJ,Heilmayr,Robert Heilmayr, UCSB,Robert Heilmayr UCSB,Environmental Studies,"Environmental economics, Ecological economics, Land systems science",Environmental Economics; Conservation,2017.0,,,
91,none,Pellow,David Pellow, UCSB,David Pellow UCSB,Environmental Studies,"Environmental Justice, Social Change",Environmental Politics,2016.0,,,
92,BmbVaAgAAAAJ,Perrone,Debra Perrone, UCSB,Debra Perrone UCSB,Environmental Studies,"Water Resources Engineering, Groundwater Science and Policy","Hydrology, Coupled Natural Human Systems",2017.0,,,
93,rsyLfcEAAAAJ,Pulver,Simone Pulver, UCSB,Simone Pulver UCSB,Environmental Studies,"Global environmental politics, organizational theory, and the sociology of development",Environmental Politics,,,,
94,none,Stonich,Susan Stonich, UCSB,Susan Stonich UCSB,Environmental Studies,Ecological anthropology and third world environmental problems,Human Geography,,2014.0,,
95,none,Wilkinson,Robert Wilkinson, UCSB,Robert Wilkinson UCSB,Environmental Studies,"Environmental policy, water and watershed policy, energy, climate change, urban environment.",Environmental Politics,,2015.0,,
96,NnxLL5YAAAAJ,Harthorn,Barbara Harthorn, UCSB,Barbara Harthorn UCSB,Feminist Studies,Nanomaterials and Environmental Risk Perception,Environmental Politics,,,,
97,_UuIymgAAAAJ,Bookhagen,Bodo Bookhagen, UCSB,Bodo Bookhagen UCSB,Geography,"Geomorphology – remote sensing, hydrology, cosmogenic isotopes, climate change",Geomorphology; Hydrology,,2014.0,,
98,HCfUlVIAAAAJ,Carvalho,Leila Carvalho, UCSB,Leila Carvalho UCSB,Geography,Atmospheric science – Regional and large-scale climate variability; scaling processes in geophysics,Climate; Atmospheric Science,,,,
99,iZiXeBcAAAAJ,Cassels,Susan Cassels, UCSB,Susan Cassels UCSB,Geography,Epidemiology & mathematical modeling; social network analysis; infectious disease epidemiology,Human Geography,2015.0,,,
100,G8HrBaYAAAAJ,Chadwick,Oliver Chadwick, UCSB,Oliver Chadwick UCSB,Geography,Biogeosciences; soil science,Soils; Geomorphology,,2019.0,,
101,none,Chrastil,Liz Chrastil, UCSB,Liz Chrastil UCSB,Geography,"Cognitive and Behavioral Geography, Human-Environment Relations",,2017.0,,,
102,28mqRI8AAAAJ,Chu,Vena Chu, UCSB,Vena Chu UCSB,Geography,"Remote sensing, Cryosphere, Arctic climate change",,2018.0,,,
103,t4-JG2IAAAAJ,Church,Richard Church, UCSB,Richard Church UCSB,Geography,"Geographic Information Science, Transportation",Transportation; Human Geography; GIScience,,,,
104,fjZMW1oAAAAJ,Clarke,Keith Clarke, UCSB,Keith Clarke UCSB,Geography,Geographic Information Science; Cartography,GIScience; LULCC; Human Geography,,2021.0,,
105,STbfwjsAAAAJ,Couclelis,Helen Couclelis, UCSB,Helen Couclelis UCSB,Geography,"Cognitive and Behavioral Geography, Geographic Information Science, Human-Environment Relations",Human Geography; Cognition,,2015.0,,
106,1Z6XrOUAAAAJ,DeVries,Timothy DeVries, UCSB,Timothy DeVries UCSB,Geography,Global ocean modeling; cycling of carbon and nutrients,"Biological, Chemical & Physical Oceanography; Paleoclimate",2014.0,,,
107,none,Dickey,Tommy Dickey, UCSB,Tommy Dickey UCSB,Geography,Optical and physical oceanography; ocean instrumentation,Biological & Physical Oceanography,,,,
